timestamp,lado,ang_tronco,ang_cuello,ang_brazo,ang_antebrazo,ang_muneca,ang_rodilla,s_tronco,s_cuello,s_piernas,s_brazo,s_antebrazo,s_muneca,score_A,score_B,score_C,score_reba,nivel_riesgo,repetitivo,frecuencia_rpm,confianza_acf
20:14:07.599,izq,12.02,33.06,20.65,174.83,176.37,20.63,2,2,1,2,2,2,3,3,3,3,Bajo,0,0.0,0.0
20:14:08.474,izq,7.11,33.46,10.56,126.8,149.25,5.61,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.0
20:14:09.246,der,11.1,9.19,20.02,175.45,172.5,7.08,2,1,1,2,2,2,2,3,2,2,Bajo,0,0.0,0.0
20:14:10.011,der,11.14,9.69,23.33,169.75,174.05,2.38,2,1,1,2,2,2,2,3,2,2,Bajo,0,0.0,0.0
20:14:10.821,der,14.08,7.26,23.66,171.84,171.2,1.67,2,1,1,2,2,2,2,3,2,2,Bajo,0,0.0,0.0
20:14:11.639,der,16.92,57.69,12.94,177.76,166.23,6.65,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.0
20:14:12.430,der,14.4,17.93,8.96,162.24,167.32,8.06,2,1,1,1,2,2,2,2,2,2,Bajo,0,0.0,0.0
20:14:13.231,der,0.83,20.73,16.62,170.27,158.91,5.01,1,2,1,1,2,2,2,2,2,2,Bajo,0,0.0,-0.021
20:14:13.991,der,4.11,24.84,15.47,176.36,169.58,2.56,1,2,1,1,2,2,2,2,2,2,Bajo,0,0.0,-0.1
20:14:14.830,der,3.7,20.57,13.67,177.1,166.67,1.4,1,2,1,1,2,2,2,2,2,2,Bajo,0,0.0,-0.063
20:14:15.641,der,5.32,29.41,2.62,171.56,172.55,1.58,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.006
20:14:16.468,der,8.64,33.36,2.08,155.37,166.69,4.48,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.044
20:14:17.416,der,9.46,34.65,0.76,165.71,169.92,7.75,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.122
20:14:18.370,der,4.16,23.51,14.68,174.07,160.76,2.35,1,2,1,1,2,2,2,2,2,2,Bajo,0,0.0,0.188
20:14:19.172,der,5.51,27.37,14.44,178.17,153.75,4.65,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.209
20:14:20.011,izq,2.81,18.49,11.41,179.37,167.84,2.67,1,1,1,1,2,2,1,2,1,1,Insignificante,0,0.0,0.208
20:14:20.840,izq,7.54,25.46,12.15,175.39,169.94,5.66,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.207
20:14:21.641,izq,6.01,23.98,10.48,177.01,171.91,3.26,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.209
20:14:22.426,der,5.61,26.48,28.69,136.2,172.03,1.47,2,2,1,2,2,2,3,3,3,3,Bajo,0,0.0,0.268
20:14:23.212,der,5.42,26.09,12.36,175.89,167.37,0.32,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.132
20:14:24.020,der,4.76,23.54,12.57,178.11,167.9,1.03,1,2,1,1,2,2,2,2,2,2,Bajo,0,0.0,0.141
20:14:24.770,izq,7.49,24.86,13.22,170.33,172.01,4.75,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.216
20:14:25.593,izq,7.59,26.08,13.41,169.8,171.49,3.67,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.273
20:14:26.370,izq,6.72,24.35,13.36,174.04,169.99,5.14,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.27
20:14:27.155,izq,6.75,23.84,12.56,177.62,171.21,6.03,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.247
20:14:27.931,izq,7.02,24.04,12.33,177.3,169.54,5.9,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.064
20:14:28.747,izq,7.22,24.63,12.79,174.94,171.07,5.92,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.173
20:14:29.547,izq,7.29,24.75,12.09,176.3,170.55,6.14,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.184
20:14:30.301,izq,6.13,23.14,10.24,178.3,169.0,6.78,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.173
20:14:31.102,izq,6.62,23.73,11.38,175.63,171.76,7.45,2,2,1,1,2,2,3,2,3,3,Bajo,0,0.0,0.116
